Month,Duration of job search,State and territory (STT): ASGS (2011),Unemployed total ('000)
Jun-1991,Under 4 weeks (under 1 month),Australian Capital Territory,1.9588087
Jun-1991,4 weeks and under 13 weeks (1-3 months),New South Wales,50.4802257
Jun-1991,4 weeks and under 13 weeks (1-3 months),Victoria,47.4473655
Jun-1991,4 weeks and under 13 weeks (1-3 months),Queensland,31.557783
Jun-1991,4 weeks and under 13 weeks (1-3 months),South Australia,12.8320325
Jun-1991,4 weeks and under 13 weeks (1-3 months),Western Australia,19.2023995
Jun-1991,4 weeks and under 13 weeks (1-3 months),Tasmania,5.3182624
Jun-1991,4 weeks and under 13 weeks (1-3 months),Northern Territory,0.9573122
Jun-1991,4 weeks and under 13 weeks (1-3 months),Australian Capital Territory,2.0627518
Jun-1991,13 weeks and under 26 weeks (3-6 months),New South Wales,48.042373
Jun-1991,13 weeks and under 26 weeks (3-6 months),Victoria,47.6069355
Jun-1991,13 weeks and under 26 weeks (3-6 months),Queensland,27.9330653
Jun-1991,13 weeks and under 26 weeks (3-6 months),South Australia,11.5169842
Jun-1991,13 weeks and under 26 weeks (3-6 months),Western Australia,21.158002
Jun-1991,13 weeks and under 26 weeks (3-6 months),Tasmania,3.9047816
Jun-1991,13 weeks and under 26 weeks (3-6 months),Northern Territory,1.4580292
Jun-1991,13 weeks and under 26 weeks (3-6 months),Australian Capital Territory,2.8304455
Jun-1991,26 weeks and under 52 weeks (6-12 months),New South Wales,33.3813366
Jun-1991,26 weeks and under 52 weeks (6-12 months),Victoria,46.1532082
Jun-1991,26 weeks and under 52 weeks (6-12 months),Queensland,27.0057929
Jun-1991,26 weeks and under 52 weeks (6-12 months),South Australia,11.2793369
Jun-1991,26 weeks and under 52 weeks (6-12 months),Western Australia,16.0956231
Jun-1991,26 weeks and under 52 weeks (6-12 months),Tasmania,3.6091706
Jun-1991,26 weeks and under 52 weeks (6-12 months),Northern Territory,1.3534117
Jun-1991,26 weeks and under 52 weeks (6-12 months),Australian Capital Territory,1.020008
Jun-1991,52 weeks and under 104 weeks (1-2 years),New South Wales,30.997905
Jun-1991,52 weeks and under 104 weeks (1-2 years),Victoria,28.367288
